Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Launch Site,Booster landing,Date,Time
1,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,CCAFS,Failure,4 June 2010,18:45
2,,Dragon,0,LEO,NASA,Success,F9 v1.0B0004.1,CCAFS,Failure,8 December 2010,15:43
3,,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0005.1,CCAFS,"No attempt
",22 May 2012,07:44
4,,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,CCAFS,No attempt,8 October 2012,00:35
5,,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0007.1,CCAFS,"No attempt
",1 March 2013,15:10
6,,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.1B1003,VAFB,Uncontrolled,29 September 2013,16:00
7,,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,CCAFS,No attempt,3 December 2013,22:41
8,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,CCAFS,No attempt,6 January 2014,22:06
9,,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Cape Canaveral,Controlled,18 April 2014,19:25
10,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Cape Canaveral,Controlled,14 July 2014,15:15
11,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,Cape Canaveral,No attempt,5 August 2014,08:00
12,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,Cape Canaveral,"No attempt
",7 September 2014,05:00
13,,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Cape Canaveral,Uncontrolled,21 September 2014,05:52
14,,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Cape Canaveral,Failure ,10 January 2015,09:47
15,,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,Cape Canaveral,Controlled,11 February 2015,23:03
16,,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,Cape Canaveral,No attempt,2 March 2015,03:50
17,,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Cape Canaveral,Failure,14 April 2015,20:10
